province,Area (km2),population,GPP(billions)
Krung Thep Maha Nakhon,1564.0,5666264.0,5022.02
Amnat Charoen,3290.0,378438.0,17.65
Ang Thong,950.0,279654.0,27.79
Bueng Kan,4003.0,424091.0,27.17
Buriram,10080.0,1595747.0,84.33
Chachoengsao,5169.0,720113.0,341.12
Chai Nat,2506.0,326611.0,31.85
Chaiyaphum,12698.0,1137357.0,60.09
Chanthaburi,6415.0,537698.0,138.44
Chiang Mai,22135.0,1779254.0,231.73
Chiang Rai,11503.0,1298304.0,104.44
Chonburi,4508.0,1558301.0,976.46
Chumphon,5998.0,511304.0,79.4
Kalasin,6936.0,983418.0,55.84
Kamphaeng Phet,8512.0,725867.0,110.25
Kanchanaburi,19385.0,895525.0,97.29
Khon Kaen,10659.0,1802872.0,204.12
Krabi,5323.0,476739.0,89.7
Lampang,12488.0,738316.0,68.2
Lamphun,4478.0,405075.0,77.85
Loei,10500.0,642950.0,52.67
Lopburi,6493.0,755556.0,111.92
Mae Hong Son,12765.0,284138.0,13.0
Maha Sarakham,5607.0,962665.0,56.0
Mukdahan,4126.0,353174.0,25.8
Nakhon Nayok,2141.0,260751.0,26.84
Nakhon Pathom,2142.0,920030.0,332.63
Nakhon Phanom,5637.0,719136.0,42.89
Nakhon Ratchasima,20736.0,2648927.0,274.9
Nakhon Sawan,9526.0,1059887.0,107.18
Nakhon Si Thammarat,9885.0,1561927.0,153.57
Nan,12130.0,478227.0,31.31
Narathiwat,4491.0,808020.0,42.74
Nong Bua Lamphu,4099.0,512780.0,25.19
Nong Khai,3275.0,522311.0,40.05
Nonthaburi,637.0,1265387.0,316.63
Pathum Thani,1520.0,1163604.0,380.69
Pattani,1977.0,725104.0,55.74
Phang Nga,5495.0,268788.0,71.76
Phatthalung,3861.0,524865.0,36.48
Phayao,6189.0,472356.0,36.02
Phetchabun,12340.0,992451.0,76.8
Phetchaburi,6172.0,485191.0,68.49
Phichit,4319.0,536311.0,45.04
Phitsanulok,10589.0,865247.0,93.05
Phra Nakhon Si Ayutthaya,2548.0,820188.0,403.6
Phrae,6483.0,441726.0,28.38
Phuket,547.0,416582.0,209.01
Prachinburi,5026.0,494680.0,297.25
Prachuap Khiri Khan,6414.0,554116.0,92.11
Ranong,3230.0,193370.0,26.77
Ratchaburi,5189.0,873101.0,172.59
Rayong,3666.0,734753.0,984.98
Roi Et,7873.0,1305211.0,73.48
Sa Kaeo,6831.0,566303.0,45.25
Sakon Nakhon,9580.0,1153390.0,55.63
Samut Prakan,947.0,1344875.0,717.05
Samut Sakhon,866.0,584703.0,398.1
Samut Songkhram,414.0,193305.0,21.88
Saraburi,3499.0,645911.0,236.64
Satun,3019.0,323586.0,36.56
Sing Buri,817.0,208446.0,26.5
Sisaket,8936.0,1472859.0,69.57
Songkhla,7741.0,1435968.0,241.84
Sukhothai,6671.0,595072.0,45.15
Suphan Buri,5410.0,846334.0,86.74
Surat Thani,13079.0,1068010.0,211.05
Surin,8854.0,1396831.0,72.88
Tak,17303.0,665620.0,47.8
Trang,4726.0,643164.0,73.2
Trat,2866.0,229958.0,46.96
Ubon Ratchathani,15626.0,1878146.0,120.49
Udon Thani,11072.0,1586646.0,111.26
Uthai Thani,6647.0,328618.0,28.59
Uttaradit,7906.0,453103.0,38.11
Yala,4476.0,536330.0,43.37
Yasothon,4131.0,537299.0,26.04
